d,beta_p,beta_d,c_eps4,c_eps5,vel_15,TI_15,vel_03,TI_03
1.2,0.325,3.025,0.325,3.025,0.759581,0.176928096,0.788644,0.091645269
2,0.325,3.025,0.325,3.025,0.775127,0.166132727,0.793996,0.085629351
3,0.325,3.025,0.325,3.025,0.783963,0.159060782,0.797098,0.08229688
4,0.325,3.025,0.325,3.025,0.788624,0.154791615,0.798635,0.080777651
5,0.325,3.025,0.325,3.025,0.791594,0.15177137,0.799462,0.080035267
6,0.325,3.025,0.325,3.025,0.793681,0.149427692,0.799871,0.079661619
7,0.325,3.025,0.325,3.025,0.795218,0.147506596,0.800055,0.079466361
8,0.325,3.025,0.325,3.025,0.796378,0.145872928,0.800136,0.07935649
9,0.325,3.025,0.325,3.025,0.797265,0.144448398,0.800173,0.079287843
10,0.325,3.025,0.325,3.025,0.797951,0.143180338,0.800192,0.07923946
1.2,0.325,3.025,0.325,1.075,0.753119,0.180377531,0.78676,0.093162664
2,0.325,3.025,0.325,1.075,0.771703,0.167819429,0.792807,0.086301847
3,0.325,3.025,0.325,1.075,0.78206,0.159761639,0.79635,0.082443767
4,0.325,3.025,0.325,1.075,0.787346,0.155012347,0.7982,0.080631652
5,0.325,3.025,0.325,1.075,0.790614,0.151717161,0.799235,0.079717745
6,0.325,3.025,0.325,1.075,0.792871,0.149192036,0.799763,0.079244488
7,0.325,3.025,0.325,1.075,0.794527,0.147134381,0.800009,0.07899087
8,0.325,3.025,0.325,1.075,0.795781,0.145389461,0.800115,0.078846066
9,0.325,3.025,0.325,1.075,0.796746,0.14386885,0.800157,0.078754978
10,0.325,3.025,0.325,1.075,0.797498,0.142515977,0.800167,0.078690903
1.2,0.325,3.025,0.775,3.025,0.757785,0.177887651,0.786216,0.093676756
2,0.325,3.025,0.775,3.025,0.774177,0.166597852,0.792456,0.086548966
3,0.325,3.025,0.775,3.025,0.78343,0.159252572,0.796115,0.082522292
4,0.325,3.025,0.775,3.025,0.788261,0.154850427,0.79805,0.080615845
5,0.325,3.025,0.775,3.025,0.791312,0.151753913,0.799147,0.079647072
6,0.325,3.025,0.775,3.025,0.793446,0.149358907,0.799712,0.079143255
7,0.325,3.025,0.775,3.025,0.795018,0.147398154,0.799976,0.078873701
8,0.325,3.025,0.775,3.025,0.796205,0.145732621,0.80009,0.078721102
9,0.325,3.025,0.775,3.025,0.797115,0.144279365,0.80013,0.078626961
10,0.325,3.025,0.775,3.025,0.79782,0.142986462,0.800138,0.078561916
1.2,0.325,3.025,0.775,1.075,0.746371,0.183993736,0.776235,0.103386938
2,0.325,3.025,0.775,1.075,0.768066,0.169650426,0.785865,0.092439751
3,0.325,3.025,0.775,1.075,0.780064,0.160551658,0.791556,0.085673766
4,0.325,3.025,0.775,1.075,0.786054,0.155286937,0.794884,0.081947072
5,0.325,3.025,0.775,1.075,0.789658,0.151701522,0.796985,0.079699346
6,0.325,3.025,0.775,1.075,0.7921,0.148990346,0.798269,0.078307804
7,0.325,3.025,0.775,1.075,0.793876,0.146798538,0.799029,0.077437717
8,0.325,3.025,0.775,1.075,0.795218,0.144949019,0.799459,0.076888334
9,0.325,3.025,0.775,1.075,0.796255,0.143340503,0.799688,0.076535295
10,0.325,3.025,0.775,1.075,0.797065,0.141911053,0.799801,0.07630135
1.2,0.325,1.075,0.325,3.025,0.761284,0.188024475,0.788579,0.096263638
2,0.325,1.075,0.325,3.025,0.776421,0.174333667,0.794068,0.089694103
3,0.325,1.075,0.325,3.025,0.784889,0.165645502,0.797172,0.08615076
4,0.325,1.075,0.325,3.025,0.78936,0.160499664,0.798683,0.084572819
5,0.325,1.075,0.325,3.025,0.792218,0.15692314,0.799491,0.083816076
6,0.325,1.075,0.325,3.025,0.794222,0.154200357,0.79989,0.083441709
7,0.325,1.075,0.325,3.025,0.79569,0.152010058,0.800068,0.08324993
8,0.325,1.075,0.325,3.025,0.796787,0.150183141,0.800145,0.083144478
9,0.325,1.075,0.325,3.025,0.797617,0.148617352,0.800181,0.08308004
10,0.325,1.075,0.325,3.025,0.798252,0.147245038,0.8002,0.08303551
1.2,0.325,1.075,0.325,1.075,0.757675,0.190910455,0.787691,0.097147261
2,0.325,1.075,0.325,1.075,0.774467,0.175841204,0.793512,0.090136568
3,0.325,1.075,0.325,1.075,0.783762,0.166392888,0.796828,0.086327693
4,0.325,1.075,0.325,1.075,0.788573,0.160869904,0.798487,0.084607236
5,0.325,1.075,0.325,1.075,0.791597,0.157069614,0.799391,0.083769417
6,0.325,1.075,0.325,1.075,0.793704,0.154192593,0.799844,0.083348607
7,0.325,1.075,0.325,1.075,0.795247,0.151883891,0.800051,0.083129443
8,0.325,1.075,0.325,1.075,0.796407,0.149958954,0.800143,0.083007185
9,0.325,1.075,0.325,1.075,0.797291,0.148309096,0.800184,0.082931589
10,0.325,1.075,0.325,1.075,0.797972,0.14686284,0.800202,0.082879176
1.2,0.325,1.075,0.775,3.025,0.758263,0.190445778,0.784237,0.101231306
2,0.325,1.075,0.775,3.025,0.774785,0.175598354,0.791313,0.092407178
3,0.325,1.075,0.775,3.025,0.783944,0.166273054,0.795399,0.087421627
4,0.325,1.075,0.775,3.025,0.788698,0.160811422,0.797601,0.085028144
5,0.325,1.075,0.775,3.025,0.791696,0.157047264,0.798871,0.083790851
6,0.325,1.075,0.775,3.025,0.793786,0.154194506,0.799537,0.083136798
7,0.325,1.075,0.775,3.025,0.795317,0.151904872,0.799856,0.082783089
8,0.325,1.075,0.775,3.025,0.796467,0.149995308,0.799996,0.082583389
9,0.325,1.075,0.775,3.025,0.797343,0.148358454,0.800049,0.08246243
10,0.325,1.075,0.775,3.025,0.798016,0.146924229,0.800063,0.082381631
1.2,0.325,1.075,0.775,1.075,0.750531,0.196612795,0.775535,0.112072378
2,0.325,1.075,0.775,1.075,0.770513,0.178876858,0.785512,0.099573088
3,0.325,1.075,0.775,1.075,0.781506,0.167898023,0.791359,0.091901025
4,0.325,1.075,0.775,1.075,0.787042,0.161606617,0.79476,0.087696573
5,0.325,1.075,0.775,1.075,0.79042,0.157358102,0.796904,0.085170392
6,0.325,1.075,0.775,1.075,0.792732,0.154181216,0.798216,0.083608817
7,0.325,1.075,0.775,1.075,0.794419,0.151649487,0.798995,0.082631453
8,0.325,1.075,0.775,1.075,0.795691,0.149545334,0.799437,0.082012226
9,0.325,1.075,0.775,1.075,0.79667,0.147743398,0.799673,0.081611989
10,0.325,1.075,0.775,1.075,0.797432,0.146164719,0.79979,0.081344974
1.2,0.775,3.025,0.325,3.025,0.773606,0.200076919,0.796942,0.124859499
2,0.775,3.025,0.325,3.025,0.783731,0.185956599,0.798681,0.121728732
3,0.775,3.025,0.325,3.025,0.789637,0.17687432,0.799478,0.120504956
4,0.775,3.025,0.325,3.025,0.793025,0.171430308,0.799722,0.1201142
5,0.775,3.025,0.325,3.025,0.79527,0.167690111,0.799788,0.119974922
6,0.775,3.025,0.325,3.025,0.796812,0.164933132,0.799803,0.119919671
7,0.775,3.025,0.325,3.025,0.797884,0.162805573,0.79981,0.119892547
8,0.775,3.025,0.325,3.025,0.798632,0.161104396,0.799818,0.119875266
9,0.775,3.025,0.325,3.025,0.799151,0.159699716,0.799829,0.119862315
10,0.775,3.025,0.325,3.025,0.799508,0.158504919,0.799844,0.119850503
1.2,0.775,3.025,0.325,1.075,0.7697,0.203238854,0.796171,0.125665199
2,0.775,3.025,0.325,1.075,0.781551,0.187313304,0.798405,0.121564943
3,0.775,3.025,0.325,1.075,0.78826,0.177269266,0.799382,0.119928035
4,0.775,3.025,0.325,1.075,0.791985,0.171319808,0.799659,0.119403752
5,0.775,3.025,0.325,1.075,0.794428,0.167238343,0.799735,0.119222912
6,0.775,3.025,0.325,1.075,0.796122,0.164212026,0.799765,0.119157663
7,0.775,3.025,0.325,1.075,0.797321,0.1618579,0.79979,0.119132945
8,0.775,3.025,0.325,1.075,0.798177,0.159960353,0.799816,0.119122948
9,0.775,3.025,0.325,1.075,0.798789,0.158384269,0.799842,0.119119076
10,0.775,3.025,0.325,1.075,0.799225,0.157039831,0.799869,0.119117679
1.2,0.775,3.025,0.775,3.025,0.771522,0.201774939,0.794877,0.126649053
2,0.775,3.025,0.775,3.025,0.782563,0.186683986,0.797824,0.121232606
3,0.775,3.025,0.775,3.025,0.788893,0.177085898,0.799108,0.118962002
4,0.775,3.025,0.775,3.025,0.792462,0.171368524,0.799498,0.11819178
5,0.775,3.025,0.775,3.025,0.794817,0.167441923,0.799655,0.117901386
6,0.775,3.025,0.775,3.025,0.796444,0.164537019,0.799754,0.117781087
7,0.775,3.025,0.775,3.025,0.797588,0.162284555,0.799829,0.117728003
8,0.775,3.025,0.775,3.025,0.798397,0.16047545,0.799889,0.117702354
9,0.775,3.025,0.775,3.025,0.798968,0.158977061,0.799936,0.11769057
10,0.775,3.025,0.775,3.025,0.799369,0.157700095,0.799977,0.117684538
1.2,0.775,3.025,0.775,1.075,0.762397,0.209095141,0.789953,0.131228722
2,0.775,3.025,0.775,1.075,0.777457,0.189951253,0.795334,0.121622122
3,0.775,3.025,0.775,1.075,0.785734,0.17813886,0.798015,0.116971783
4,0.775,3.025,0.775,1.075,0.79009,0.171286736,0.799165,0.115083428
5,0.775,3.025,0.775,1.075,0.792865,0.166628417,0.799759,0.114226318
6,0.775,3.025,0.775,1.075,0.794795,0.163166571,0.800052,0.11380989
7,0.775,3.025,0.775,1.075,0.79619,0.160451344,0.800178,0.113591864
8,0.775,3.025,0.775,1.075,0.797218,0.158241637,0.800226,0.113464917
9,0.775,3.025,0.775,1.075,0.797983,0.156391431,0.800244,0.113380677
10,0.775,3.025,0.775,1.075,0.798559,0.154803649,0.80025,0.113318753
1.2,0.775,1.075,0.325,3.025,0.77433,0.211166147,0.796814,0.129725361
2,0.775,1.075,0.325,3.025,0.784412,0.194651313,0.79864,0.1262582
3,0.775,1.075,0.325,3.025,0.790218,0.184219807,0.799463,0.124902459
4,0.775,1.075,0.325,3.025,0.79353,0.178065295,0.799708,0.12446659
5,0.775,1.075,0.325,3.025,0.795701,0.173910647,0.799773,0.124307738
6,0.775,1.075,0.325,3.025,0.797165,0.1709044,0.79979,0.124241359
7,0.775,1.075,0.325,3.025,0.798164,0.168626348,0.799799,0.124206822
8,0.775,1.075,0.325,3.025,0.798845,0.166834184,0.799811,0.124183141
9,0.775,1.075,0.325,3.025,0.799308,0.165373317,0.799825,0.124164182
10,0.775,1.075,0.325,3.025,0.799618,0.164142962,0.799844,0.124146964
1.2,0.775,1.075,0.325,1.075,0.772334,0.213700647,0.79649,0.130256213
2,0.775,1.075,0.325,1.075,0.783275,0.195971833,0.798529,0.126343624
3,0.775,1.075,0.325,1.075,0.789481,0.184875508,0.799426,0.124802132
4,0.775,1.075,0.325,1.075,0.792971,0.178357043,0.799684,0.124307736
5,0.775,1.075,0.325,1.075,0.795254,0.173950536,0.799752,0.12413144
6,0.775,1.075,0.325,1.075,0.79681,0.170746095,0.799774,0.124061674
7,0.775,1.075,0.325,1.075,0.797888,0.1683037,0.799791,0.12402795
8,0.775,1.075,0.325,1.075,0.798637,0.166372037,0.799809,0.124007932
9,0.775,1.075,0.325,1.075,0.799157,0.164793478,0.799831,0.123992755
10,0.775,1.075,0.325,1.075,0.799514,0.163462396,0.799854,0.123979524
1.2,0.775,1.075,0.775,3.025,0.770828,0.215620212,0.793297,0.13445495
2,0.775,1.075,0.775,3.025,0.782421,0.19697763,0.797098,0.127024748
3,0.775,1.075,0.775,3.025,0.788938,0.185377246,0.798795,0.123756986
4,0.775,1.075,0.775,3.025,0.792561,0.178586641,0.79939,0.122571775
5,0.775,1.075,0.775,3.025,0.794925,0.173994943,0.799687,0.122084304
6,0.775,1.075,0.775,3.025,0.796545,0.170645652,0.799871,0.121863129
7,0.775,1.075,0.775,3.025,0.797676,0.168084028,0.799984,0.121752692
8,0.775,1.075,0.775,3.025,0.798471,0.166051213,0.800053,0.121691705
9,0.775,1.075,0.775,3.025,0.799028,0.164386488,0.800097,0.121653343
10,0.775,1.075,0.775,3.025,0.799418,0.162981305,0.800129,0.121626219
1.2,0.775,1.075,0.775,1.075,0.764689,0.223387206,0.78965,0.138770478
2,0.775,1.075,0.775,1.075,0.778935,0.201119031,0.795195,0.128263438
3,0.775,1.075,0.775,1.075,0.786755,0.187468392,0.797949,0.123196631
4,0.775,1.075,0.775,1.075,0.790915,0.179584293,0.799134,0.121141638
5,0.775,1.075,0.775,1.075,0.793576,0.174269458,0.799747,0.120209335
6,0.775,1.075,0.775,1.075,0.795414,0.170368627,0.800048,0.119756906
7,0.775,1.075,0.775,1.075,0.796725,0.167354378,0.800177,0.119521315
8,0.775,1.075,0.775,1.075,0.797675,0.164938059,0.800229,0.119384993
9,0.775,1.075,0.775,1.075,0.798369,0.16294306,0.80025,0.119295064
10,0.775,1.075,0.775,1.075,0.798879,0.161251962,0.800261,0.11922796
